Analysis Type:	PANTHER Overrepresentation Test (Released 20200407)
Annotation Version and Release Date:	PANTHER version 15.0 Released 2020-02-14
Analyzed List:	fullDEGenesFC1Clean (Homo sapiens )
Reference List:	RefRNAseqClean (Homo sapiens )
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1
PANTHER GO-Slim Biological Process	RefRNAseqClean - REFLIST (14012)	fullDEGenesFC1Clean (2301)	fullDEGenesFC1Clean (expected)	fullDEGenesFC1Clean (over/under)	fullDEGenesFC1Clean (fold Enrichment)	fullDEGenesFC1Clean (P-value)
regulation of nitrogen compound metabolic process (GO:0051171)	1301	265	213.65	+	1.24	1.01E-03
phosphorus metabolic process (GO:0006793)	703	142	115.44	+	1.23	2.24E-02
regulation of macromolecule metabolic process (GO:0060255)	1390	279	228.26	+	1.22	1.59E-03
regulation of metabolic process (GO:0019222)	1451	289	238.28	+	1.21	1.94E-03
biological_process (GO:0008150)	6386	1111	1048.69	+	1.06	1.67E-02
Unclassified (UNCLASSIFIED)	7626	1190	1252.31	-	.95	0.00E00
metabolic process (GO:0008152)	3649	544	599.23	-	.91	1.45E-02
organic substance metabolic process (GO:0071704)	3524	523	578.70	-	.90	1.24E-02
primary metabolic process (GO:0044238)	3373	496	553.90	-	.90	8.83E-03
cellular metabolic process (GO:0044237)	3480	509	571.47	-	.89	5.10E-03
macromolecule metabolic process (GO:0043170)	2966	433	487.07	-	.89	1.00E-02
nitrogen compound metabolic process (GO:0006807)	3213	463	527.63	-	.88	2.80E-03
cellular component organization or biogenesis (GO:0071840)	1932	277	317.27	-	.87	2.33E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1310	185	215.12	-	.86	4.67E-02
cellular macromolecule biosynthetic process (GO:0034645)	1303	184	213.97	-	.86	4.62E-02
macromolecule biosynthetic process (GO:0009059)	1307	184	214.63	-	.86	4.23E-02
organic substance biosynthetic process (GO:1901576)	1582	221	259.79	-	.85	1.62E-02
biosynthetic process (GO:0009058)	1602	223	263.07	-	.85	1.38E-02
RNA metabolic process (GO:0016070)	1340	186	220.05	-	.85	2.50E-02
cellular biosynthetic process (GO:0044249)	1577	217	258.97	-	.84	9.60E-03
organic cyclic compound metabolic process (GO:1901360)	1784	241	292.96	-	.82	2.13E-03
cellular aromatic compound metabolic process (GO:0006725)	1760	234	289.02	-	.81	1.10E-03
nucleic acid metabolic process (GO:0090304)	1569	208	257.66	-	.81	1.89E-03
nucleobase-containing compound metabolic process (GO:0006139)	1721	226	282.62	-	.80	6.67E-04
heterocycle metabolic process (GO:0046483)	1755	230	288.20	-	.80	5.06E-04
cellular nitrogen compound metabolic process (GO:0034641)	1981	256	325.31	-	.79	7.52E-05
nitrogen compound transport (GO:0071705)	573	74	94.10	-	.79	4.98E-02
gene expression (GO:0010467)	1568	198	257.49	-	.77	1.65E-04
cellular protein localization (GO:0034613)	579	73	95.08	-	.77	2.90E-02
cellular macromolecule localization (GO:0070727)	581	73	95.41	-	.77	2.91E-02
protein localization (GO:0008104)	634	79	104.11	-	.76	1.79E-02
cellular localization (GO:0051641)	819	102	134.49	-	.76	6.29E-03
cellular component assembly (GO:0022607)	637	79	104.61	-	.76	1.56E-02
small molecule metabolic process (GO:0044281)	456	56	74.88	-	.75	3.87E-02
establishment of protein localization (GO:0045184)	498	61	81.78	-	.75	2.60E-02
peptide transport (GO:0015833)	492	60	80.79	-	.74	2.51E-02
amide transport (GO:0042886)	503	61	82.60	-	.74	2.26E-02
protein transport (GO:0015031)	489	58	80.30	-	.72	1.74E-02
establishment of localization in cell (GO:0051649)	662	75	108.71	-	.69	1.37E-03
carbohydrate derivative metabolic process (GO:1901135)	305	34	50.09	-	.68	2.73E-02
protein modification by small protein conjugation or removal (GO:0070647)	240	26	39.41	-	.66	4.08E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	244	26	40.07	-	.65	3.39E-02
cellular component biogenesis (GO:0044085)	767	81	125.95	-	.64	4.87E-05
cellular amide metabolic process (GO:0043603)	319	33	52.39	-	.63	8.39E-03
cellular response to DNA damage stimulus (GO:0006974)	242	25	39.74	-	.63	2.62E-02
carbohydrate derivative biosynthetic process (GO:1901137)	207	21	33.99	-	.62	3.44E-02
protein-containing complex subunit organization (GO:0043933)	427	43	70.12	-	.61	1.21E-03
intracellular protein transport (GO:0006886)	419	41	68.81	-	.60	8.33E-04
protein modification by small protein conjugation (GO:0032446)	175	17	28.74	-	.59	3.64E-02
DNA repair (GO:0006281)	188	18	30.87	-	.58	2.61E-02
intracellular transport (GO:0046907)	573	54	94.10	-	.57	2.38E-05
organophosphate biosynthetic process (GO:0090407)	139	13	22.83	-	.57	4.66E-02
nucleotide metabolic process (GO:0009117)	124	11	20.36	-	.54	4.64E-02
purine-containing compound metabolic process (GO:0072521)	108	9	17.74	-	.51	4.51E-02
protein-containing complex assembly (GO:0065003)	352	29	57.80	-	.50	9.95E-05
organonitrogen compound biosynthetic process (GO:1901566)	524	43	86.05	-	.50	1.45E-06
peptide metabolic process (GO:0006518)	254	20	41.71	-	.48	5.98E-04
mitochondrion organization (GO:0007005)	129	10	21.18	-	.47	1.92E-02
mRNA metabolic process (GO:0016071)	236	18	38.76	-	.46	7.12E-04
cellular protein-containing complex assembly (GO:0034622)	330	25	54.19	-	.46	3.92E-05
purine ribonucleotide metabolic process (GO:0009150)	94	7	15.44	-	.45	4.30E-02
nucleotide biosynthetic process (GO:0009165)	82	6	13.47	-	.45	4.61E-02
nucleoside phosphate biosynthetic process (GO:1901293)	83	6	13.63	-	.44	4.62E-02
amide biosynthetic process (GO:0043604)	239	17	39.25	-	.43	2.63E-04
ribonucleotide metabolic process (GO:0009259)	99	7	16.26	-	.43	2.43E-02
methylation (GO:0032259)	86	6	14.12	-	.42	3.47E-02
RNA splicing (GO:0008380)	160	11	26.27	-	.42	2.63E-03
DNA replication (GO:0006260)	73	5	11.99	-	.42	4.99E-02
establishment of protein localization to organelle (GO:0072594)	147	10	24.14	-	.41	3.68E-03
ribose phosphate metabolic process (GO:0019693)	105	7	17.24	-	.41	1.36E-02
regulation of cellular component biogenesis (GO:0044087)	126	8	20.69	-	.39	4.00E-03
macromolecule methylation (GO:0043414)	83	5	13.63	-	.37	2.03E-02
generation of precursor metabolites and energy (GO:0006091)	84	5	13.79	-	.36	2.06E-02
mRNA splicing, via spliceosome (GO:0000398)	140	8	22.99	-	.35	1.20E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	140	8	22.99	-	.35	1.20E-03
RNA splicing, via transesterification reactions (GO:0000375)	140	8	22.99	-	.35	1.20E-03
translational elongation (GO:0006414)	208	11	34.16	-	.32	2.13E-05
translation (GO:0006412)	208	11	34.16	-	.32	2.13E-05
purine ribonucleotide biosynthetic process (GO:0009152)	57	3	9.36	-	.32	4.01E-02
nucleobase-containing compound transport (GO:0015931)	57	3	9.36	-	.32	4.01E-02
peptide biosynthetic process (GO:0043043)	210	11	34.49	-	.32	1.54E-05
regulation of supramolecular fiber organization (GO:1902903)	79	4	12.97	-	.31	1.08E-02
energy derivation by oxidation of organic compounds (GO:0015980)	60	3	9.85	-	.30	2.87E-02
mRNA processing (GO:0006397)	181	9	29.72	-	.30	5.34E-05
ribonucleotide biosynthetic process (GO:0009260)	61	3	10.02	-	.30	2.91E-02
peptidyl-lysine modification (GO:0018205)	82	4	13.47	-	.30	7.74E-03
purine nucleotide biosynthetic process (GO:0006164)	62	3	10.18	-	.29	2.98E-02
DNA-dependent DNA replication (GO:0006261)	62	3	10.18	-	.29	2.98E-02
histone modification (GO:0016570)	104	5	17.08	-	.29	2.14E-03
covalent chromatin modification (GO:0016569)	104	5	17.08	-	.29	2.14E-03
RNA processing (GO:0006396)	388	18	63.72	-	.28	1.86E-10
protein targeting (GO:0006605)	108	5	17.74	-	.28	1.56E-03
ribose phosphate biosynthetic process (GO:0046390)	65	3	10.67	-	.28	2.13E-02
purine-containing compound biosynthetic process (GO:0072522)	65	3	10.67	-	.28	2.13E-02
regulation of actin filament organization (GO:0110053)	69	3	11.33	-	.26	1.03E-02
endosomal transport (GO:0016197)	71	3	11.66	-	.26	1.07E-02
RNA transport (GO:0050658)	50	2	8.21	-	.24	2.76E-02
nucleic acid transport (GO:0050657)	50	2	8.21	-	.24	2.76E-02
establishment of RNA localization (GO:0051236)	50	2	8.21	-	.24	2.76E-02
cellular respiration (GO:0045333)	51	2	8.38	-	.24	2.78E-02
RNA localization (GO:0006403)	55	2	9.03	-	.22	1.99E-02
regulation of protein complex assembly (GO:0043254)	84	3	13.79	-	.22	1.77E-03
protein acylation (GO:0043543)	61	2	10.02	-	.20	9.66E-03
regulation of protein polymerization (GO:0032271)	64	2	10.51	-	.19	6.70E-03
ribonucleoprotein complex assembly (GO:0022618)	104	3	17.08	-	.18	1.36E-04
ribonucleoprotein complex subunit organization (GO:0071826)	109	3	17.90	-	.17	9.66E-05
protein import (GO:0017038)	75	2	12.32	-	.16	1.46E-03
nucleoside triphosphate biosynthetic process (GO:0009142)	38	1	6.24	-	.16	3.58E-02
protein acetylation (GO:0006473)	38	1	6.24	-	.16	3.58E-02
protein polymerization (GO:0051258)	77	2	12.64	-	.16	9.86E-04
ncRNA metabolic process (GO:0034660)	240	6	39.41	-	.15	4.79E-10
tRNA modification (GO:0006400)	43	1	7.06	-	.14	1.63E-02
protein export from nucleus (GO:0006611)	43	1	7.06	-	.14	1.63E-02
nuclear transport (GO:0051169)	90	2	14.78	-	.14	2.21E-04
nucleocytoplasmic transport (GO:0006913)	90	2	14.78	-	.14	2.21E-04
ATP metabolic process (GO:0046034)	46	1	7.55	-	.13	1.10E-02
ribonucleoprotein complex biogenesis (GO:0022613)	230	5	37.77	-	.13	3.20E-10
import into nucleus (GO:0051170)	47	1	7.72	-	.13	1.11E-02
protein import into nucleus (GO:0006606)	47	1	7.72	-	.13	1.11E-02
ncRNA processing (GO:0034470)	191	4	31.37	-	.13	9.86E-09
ribosomal small subunit biogenesis (GO:0042274)	50	1	8.21	-	.12	7.53E-03
protein localization to nucleus (GO:0034504)	51	1	8.38	-	.12	7.83E-03
tRNA metabolic process (GO:0006399)	104	2	17.08	-	.12	3.11E-05
nuclear export (GO:0051168)	56	1	9.20	-	.11	3.43E-03
tRNA processing (GO:0008033)	59	1	9.69	-	.10	2.31E-03
regulation of actin filament polymerization (GO:0030833)	60	1	9.85	-	.10	2.43E-03
regulation of actin filament length (GO:0030832)	62	1	10.18	-	.10	1.56E-03
regulation of actin polymerization or depolymerization (GO:0008064)	62	1	10.18	-	.10	1.56E-03
actin filament polymerization (GO:0030041)	62	1	10.18	-	.10	1.56E-03
actin polymerization or depolymerization (GO:0008154)	67	1	11.00	-	.09	6.84E-04
ribosome biogenesis (GO:0042254)	171	2	28.08	-	.07	3.40E-09
rRNA processing (GO:0006364)	116	1	19.05	-	.05	6.81E-07
rRNA metabolic process (GO:0016072)	122	1	20.03	-	.05	3.03E-07
